日期           O/N                                 1W                                  2W                                  1M                                  3M                                  6M                                  9M                                  1Y                                  
===========================================================================================================================================
               5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    
2020-01-02     1.2521      1.3746      1.7982      2.5948      2.5514      2.5244      2.7722      2.8583      2.6433      2.9676      2.9804      2.9325      3.0180      3.0280      3.0290      3.0416      3.0494      3.0506      3.0707      3.0784      3.0783      3.1008      3.1099      3.1161      
2020-01-03     1.3149      1.2851      1.7610      2.5432      2.5304      2.5202      2.6302      2.7862      2.6370      2.9369      2.9670      2.9340      3.0041      3.0197      3.0259      3.0308      3.0429      3.0479      3.0606      3.0721      3.0761      3.0928      3.1046      3.1136      
2020-01-06     1.3005      1.2040      1.7075      2.4712      2.4994      2.5070      2.4690      2.7001      2.6177      2.8881      2.9420      2.9299      2.9830      3.0076      3.0207      3.0132      3.0330      3.0434      3.0462      3.0638      3.0727      3.0818      3.0974      3.1100      
2020-01-07     1.3035      1.1698      1.6510      2.3994      2.4800      2.4947      2.3392      2.6269      2.6051      2.8330      2.9122      2.9228      2.9586      2.9935      3.0144      2.9926      3.0216      3.0380      3.0300      3.0545      3.0686      3.0695      3.0894      3.1059      
2020-01-08     1.2753      1.2137      1.6187      2.3160      2.4670      2.4882      2.1902      2.5453      2.5913      2.7649      2.8764      2.9118      2.9308      2.9783      3.0071      2.9694      3.0090      3.0320      3.0120      3.0443      3.0640      3.0558      3.0811      3.1014      
2020-01-09     1.3246      1.2884      1.5992      2.3234      2.4591      2.4870      2.1528      2.4625      2.5783      2.7072      2.8374      2.8987      2.9054      2.9617      2.9989      2.9498      2.9957      3.0256      2.9964      3.0336      3.0589      3.0428      3.0718      3.0963      
2020-01-10     1.4466      1.3808      1.5851      2.3510      2.4471      2.4898      2.1728      2.4015      2.5743      2.6626      2.7998      2.8851      2.8862      2.9452      2.9906      2.9348      2.9828      3.0191      2.9852      3.0229      3.0536      3.0316      3.0622      3.0909      
2020-01-13     1.6578      1.4792      1.5814      2.4116      2.4414      2.4922      2.2566      2.3628      2.5777      2.6370      2.7626      2.8704      2.8738      2.9284      2.9819      2.9258      2.9695      3.0123      2.9774      3.0118      3.0478      3.0244      3.0531      3.0855      
2020-01-14     1.9184      1.6110      1.5855      2.4906      2.4450      2.4984      2.3684      2.3538      2.5925      2.6382      2.7356      2.8592      2.8664      2.9125      2.9734      2.9202      2.9564      3.0054      2.9728      3.0014      3.0422      3.0190      3.0443      3.0801      
2020-01-15     2.1386      1.7070      1.5929      2.5700      2.4430      2.5048      2.5390      2.3646      2.6216      2.6704      2.7177      2.8521      2.8632      2.8970      2.9648      2.9178      2.9436      2.9985      2.9702      2.9911      3.0365      3.0150      3.0354      3.0745      
2020-01-16     2.3224      1.8235      1.5991      2.6086      2.4660      2.5087      2.7034      2.4281      2.6432      2.7086      2.7079      2.8441      2.8634      2.8844      2.9562      2.9172      2.9335      2.9914      2.9684      2.9824      3.0304      3.0122      3.0275      3.0687      
2020-01-17     2.4724      1.9595      1.6223      2.6392      2.4951      2.5128      2.8340      2.5034      2.6448      2.7464      2.7045      2.8357      2.8642      2.8752      2.9475      2.9168      2.9258      2.9843      2.9670      2.9761      3.0241      3.0102      3.0209      3.0627      
2020-01-19     2.5432      2.1005      1.6522      2.6564      2.5340      2.5167      2.9032      2.5799      2.6400      2.7834      2.7102      2.8261      2.8652      2.8695      2.9386      2.9172      2.9215      2.9772      2.9652      2.9713      3.0175      3.0068      3.0156      3.0565      
2020-01-20     2.4892      2.2038      1.6868      2.6470      2.5688      2.5244      2.9316      2.6500      2.6385      2.8048      2.7215      2.8168      2.8648      2.8656      2.9296      2.9170      2.9186      2.9701      2.9622      2.9675      3.0110      3.0036      3.0113      3.0503      
2020-01-21     2.3354      2.2370      1.7253      2.6238      2.5969      2.5320      2.8964      2.7177      2.6315      2.8082      2.7393      2.8078      2.8636      2.8634      2.9208      2.9154      2.9166      2.9628      2.9588      2.9645      3.0044      3.0002      3.0076      3.0444      
2020-01-22     2.1204      2.2214      1.7549      2.6126      2.6106      2.5349      2.8654      2.7844      2.6235      2.8122      2.7604      2.7989      2.8616      2.8625      2.9121      2.9142      2.9157      2.9557      2.9558      2.9621      2.9978      2.9978      3.0050      3.0384      
2020-01-23     2.1048      2.2886      1.8347      2.5944      2.6168      2.5320      2.8362      2.8351      2.6183      2.8150      2.7807      2.7902      2.8596      2.8619      2.9035      2.9134      2.9151      2.9490      2.9530      2.9600      2.9915      2.9958      3.0030      3.0326      
2020-02-03     2.1230      2.3331      1.9061      2.5942      2.6253      2.5334      2.7890      2.8461      2.6045      2.8154      2.7994      2.7810      2.8574      2.8613      2.8949      2.9106      2.9139      2.9417      2.9496      2.9574      2.9846      2.9924      2.9996      3.0264      
2020-02-04     2.1280      2.3086      1.9598      2.5560      2.6015      2.5233      2.7306      2.8311      2.5925      2.8048      2.8048      2.7702      2.8502      2.8575      2.8850      2.9032      2.9101      2.9333      2.9408      2.9515      2.9765      2.9848      2.9942      3.0192      
2020-02-05     2.1612      2.2483      1.9776      2.5044      2.5641      2.5036      2.6502      2.7733      2.5690      2.7808      2.7945      2.7561      2.8382      2.8509      2.8740      2.8918      2.9036      2.9236      2.9290      2.9439      2.9675      2.9730      2.9866      3.0110      
2020-02-06     2.2182      2.1693      1.9964      2.4562      2.5344      2.5002      2.5564      2.7109      2.5695      2.7470      2.7796      2.7438      2.8218      2.8417      2.8631      2.8760      2.8951      2.9143      2.9140      2.9349      2.9587      2.9566      2.9772      3.0024      
2020-02-07     2.0880      2.0964      2.0280      2.4076      2.5010      2.4981      2.4554      2.6458      2.5746      2.7082      2.7616      2.7331      2.8008      2.8302      2.8527      2.8552      2.8843      2.9051      2.8924      2.9227      2.9494      2.9370      2.9664      2.9937      
2020-02-10     1.9176      2.0203      2.0604      2.3440      2.4691      2.5016      2.3774      2.5832      2.5816      2.6624      2.7389      2.7246      2.7750      2.8162      2.8429      2.8320      2.8713      2.8964      2.8690      2.9093      2.9403      2.9164      2.9544      2.9850      
2020-02-11     1.7750      1.9515      2.0777      2.3058      2.4309      2.4999      2.2886      2.5096      2.5798      2.6158      2.7103      2.7159      2.7460      2.7981      2.8319      2.8082      2.8557      2.8872      2.8472      2.8940      2.9308      2.8958      2.9403      2.9758      
2020-02-12     1.6690      1.9151      2.0761      2.2944      2.3994      2.4982      2.2236      2.4369      2.5773      2.5756      2.6782      2.7088      2.7140      2.7761      2.8198      2.7822      2.8370      2.8768      2.8250      2.8770      2.9208      2.8776      2.9253      2.9665      
2020-02-13     1.5938      1.9060      2.0637      2.2860      2.3711      2.4909      2.1798      2.3681      2.5763      2.5362      2.6416      2.7010      2.6798      2.7508      2.8067      2.7538      2.8149      2.8653      2.8026      2.8583      2.9102      2.8618      2.9092      2.9571      
2020-02-14     1.4864      1.7872      2.0379      2.2714      2.3395      2.4782      2.1420      2.2987      2.5669      2.4938      2.6010      2.6909      2.6422      2.7215      2.7917      2.7246      2.7899      2.8525      2.7828      2.8376      2.8988      2.8458      2.8914      2.9472      
2020-02-17     1.4410      1.6793      2.0062      2.2658      2.3049      2.4651      2.1218      2.2496      2.5479      2.4584      2.5604      2.6799      2.6066      2.6908      2.7761      2.6974      2.7647      2.8393      2.7636      2.8163      2.8869      2.8318      2.8741      2.9369      
2020-02-18     1.4296      1.6023      1.9555      2.2794      2.2926      2.4471      2.1170      2.2028      2.5170      2.4304      2.5231      2.6640      2.5758      2.6609      2.7592      2.6724      2.7403      2.8252      2.7454      2.7963      2.8739      2.8178      2.8568      2.9255      
2020-02-19     1.4506      1.5598      1.9041      2.2758      2.2851      2.4246      2.1218      2.1727      2.4730      2.4056      2.4906      2.6426      2.5500      2.6320      2.7415      2.6514      2.7168      2.8102      2.7296      2.7773      2.8606      2.8034      2.8405      2.9136      
2020-02-20     1.4426      1.5182      1.8438      2.2726      2.2793      2.4069      2.1196      2.1497      2.4303      2.3866      2.4614      2.6205      2.5290      2.6044      2.7231      2.6352      2.6945      2.7948      2.7164      2.7595      2.8472      2.7900      2.8259      2.9016      
2020-02-21     1.4624      1.4744      1.7854      2.2750      2.2732      2.3871      2.1212      2.1316      2.3887      2.3720      2.4329      2.5973      2.5138      2.5780      2.7041      2.6234      2.6740      2.7792      2.7060      2.7444      2.8336      2.7786      2.8122      2.8893      
2020-02-24     1.4840      1.4625      1.7414      2.2580      2.2619      2.3655      2.1160      2.1189      2.3511      2.3580      2.4082      2.5736      2.5000      2.5533      2.6848      2.6134      2.6554      2.7634      2.6982      2.7309      2.8201      2.7682      2.8000      2.8772      
2020-02-25     1.5038      1.4667      1.7091      2.2400      2.2597      2.3453      2.1094      2.1132      2.3114      2.3442      2.3873      2.5488      2.4868      2.5313      2.6647      2.6048      2.6386      2.7472      2.6908      2.7181      2.8061      2.7614      2.7896      2.8650      
2020-02-26     1.4784      1.4645      1.6898      2.2230      2.2494      2.3244      2.0972      2.1095      2.2732      2.3312      2.3684      2.5233      2.4732      2.5116      2.6439      2.5966      2.6240      2.7305      2.6820      2.7058      2.7914      2.7556      2.7795      2.8524      
2020-02-27     1.4672      1.4549      1.6805      2.1998      2.2362      2.3037      2.0914      2.1055      2.2368      2.3196      2.3531      2.4974      2.4598      2.4944      2.6226      2.5874      2.6113      2.7131      2.6722      2.6943      2.7763      2.7502      2.7701      2.8397      
2020-02-28     1.5218      1.4921      1.6397      2.2256      2.2503      2.2949      2.0876      2.1044      2.2016      2.3112      2.3416      2.4713      2.4478      2.4808      2.6012      2.5784      2.6009      2.6954      2.6622      2.6841      2.7609      2.7452      2.7619      2.8267      
