date	value	value_50%	value_50%	value_100%
2012-08-16	1.0	1.0	1.0	1.0
2012-08-23	0.993358633776091	0.993796768519861	0.993796768519861	0.9942349032636311
2012-08-30	0.9905123339658444	0.9772768822457716	0.9772768822457716	0.9640414305256987
2012-09-06	0.9914611005692598	0.9790703978515636	0.9790703978515636	0.9666796951338674
2012-09-13	0.9876660341555976	0.990461901189583	0.990461901189583	0.9932577682235684
2012-09-20	0.9857685009487667	0.9724132713850732	0.9724132713850732	0.9590580418213797
2012-09-27	0.9886148007590133	0.9832501912706377	0.9830703474187874	0.9775258940785616
2012-10-10	0.9914611005692598	0.9966733918109711	0.9963168313086674	1.001172562048075
2012-10-17	0.9962049335863378	0.9949324749634718	0.99468249415295	0.9931600547195621
2012-10-24	0.9952561669829223	0.9955588843069878	0.995282959395311	0.9953097518076998
2012-10-31	0.9952561669829223	0.9866159065707585	0.9864887440347482	0.9777213210865741
2012-11-07	0.9962049335863378	0.9925476809004774	0.9923373700567999	0.9884698065272621
2012-11-14	1.0	0.9834847428271424	0.9834864178229431	0.9669728356458862
2012-11-21	1.0	0.9787599764950929	0.978845026382646	0.9576900527652921
2012-11-28	1.0028462998102465	0.9689681653814842	0.9692754070870657	0.935704514363885
2012-12-05	1.0018975332068312	0.9817313694658951	0.9817969198181898	0.9616963064295485
2012-12-12	1.0056925996204933	0.9937914844479421	0.9937100871856619	0.9817275747508305
2012-12-19	1.0066413662239089	1.0118635974779584	1.0114797606964765	1.0163181551690443
2012-12-26	1.0066413662239089	1.0265328178386415	1.0259413592894022	1.0452413523548956
2013-01-07	1.010436432637571	1.0405260665970073	1.040101937249018	1.0697674418604652
2013-01-14	1.0142314990512333	1.049281657856688	1.0489371292402931	1.0836427594293532
2013-01-21	1.023719165085389	1.0593018158024474	1.0589574914737088	1.0941958178620286
2013-01-28	1.0246679316888045	1.0667523970678816	1.06651610381587	1.1083642759429355
2013-02-04	1.0388994307400379	1.0895670423790615	1.0894614409904997	1.1400234512409617
2013-02-18	1.0436432637571158	1.090275195292125	1.0898790874189137	1.1361149110807114
2013-02-25	1.0493358633776089	1.072301530822583	1.070739848827753	1.0921438342778973
2013-03-04	1.0483870967741935	1.062484686809098	1.06049411512542	1.0726011334766465
2013-03-11	1.0521821631878558	1.0718873955898018	1.0701598719007483	1.0881375806136409
2013-03-18	1.0540796963946868	1.0585814272015175	1.0561096156392038	1.058139534883721
2013-03-25	1.0597722960151803	1.079138308496354	1.0773749109546293	1.0949775258940786
2013-04-01	1.0588235294117645	1.0593962247032618	1.0567715458276332	1.054719562243502
2013-04-10	1.0664136622390892	1.061725943843161	1.0591009096812019	1.0517881571233145
2013-04-17	1.0711574952561669	1.0595416397724486	1.0569291482534497	1.0427008012507328
2013-04-24	1.0654648956356736	1.0628688174637322	1.0602387991955973	1.055012702755521
2013-05-06	1.0702087286527513	1.0702451034800777	1.067594104408455	1.0649794801641588
2013-05-13	1.0768500948766604	1.0743550689130184	1.0716964955524595	1.0665428962282588
2013-05-20	1.0806451612903225	1.0895798625473803	1.086883065304141	1.0931209693179598
2013-05-27	1.0806451612903225	1.0882619272544765	1.0855639330000566	1.0904827047097907
2013-06-03	1.0834914611005693	1.0907673597349103	1.088061931449249	1.0926324017979285
2013-06-13	1.079696394686907	1.0568864800723508	1.0541632256803695	1.0286300566738322
2013-06-20	1.069259962049336	1.0389462006369057	1.0362422538407712	1.0032245456322062
2013-06-27	1.0702087286527513	1.0135039929694	1.0107737018288185	0.9513386750048857
2013-07-03	1.0711574952561669	1.0208326886753163	1.0181857439149704	0.9652139925737737
2013-07-10	1.0683111954459201	1.0237569976125007	1.0208177044261064	0.9733242134062927
2013-07-17	1.0654648956356734	1.0339049061625873	1.0302896102176804	0.9951143247996872
2013-07-24	1.05977229601518	1.0256675047917967	1.0222156379430993	0.9846589798710181
2013-07-31	1.057874762808349	1.0137718114918566	1.0108603831630176	0.9638460035176861
2013-08-07	1.0588235294117645	1.0299616904501203	1.026236075825679	0.9936486222395934
2013-08-14	1.0578747628083491	1.0419318471129118	1.0374873130047217	1.0170998632010941
2013-08-21	1.0540796963946868	1.0332620082230717	1.0289452615254655	1.0038108266562438
2013-08-28	1.0550284629981026	1.0372291220222374	1.032839617467392	1.0106507719366815
2013-09-04	1.0578747628083491	1.042531731805147	1.0380735940287593	1.0182724252491693
2013-09-11	1.062618595825427	1.0684661285053667	1.063505897482774	1.064393199140121
2013-09-18	1.062618595825427	1.0599677620320347	1.0552002496422426	1.0477819034590579
2013-09-27	1.062618595825427	1.0533625836605491	1.0487511583778297	1.0348837209302324
2013-10-11	1.0654648956356736	1.067274723293463	1.062437353035738	1.059409810435802
2013-10-18	1.0645161290322582	1.0594325041528552	1.0547321704375674	1.0449482118428763
2013-10-25	1.0607210626185957	1.0478904570204033	1.0433564273421294	1.0259917920656634
2013-11-01	1.0597722960151803	1.0502107333665185	1.045618022152597	1.0314637482900135
2013-11-08	1.0588235294117645	1.0364403918586558	1.0320988860660543	1.0053742427203438
2013-11-15	1.049335863377609	1.0389501372336316	1.0343415685854236	1.0193472737932379
2013-11-22	1.043643263757116	1.044196849866199	1.0393123490956773	1.0349814344342385
2013-11-29	1.040796963946869	1.0499354672936039	1.0448268579749977	1.0488567520031264
2013-12-06	1.0398481973434535	1.0517310987598472	1.0465510285134307	1.053253859683408
2013-12-13	1.0379506641366225	1.0429115633948025	1.0379317518455244	1.0379128395544261
2013-12-20	1.0313092979127134	1.0174446504146544	1.0130163843481879	0.9947234707836621
2013-12-27	1.0303605313092978	1.021226077327965	1.0166948249667458	1.0030291186241935
2014-01-06	1.0284629981024669	1.0089275604934036	1.0046555756586206	0.980848153214774
2014-01-13	1.023719165085389	0.9989321978178749	0.9948085760936032	0.9658979871018173
2014-01-20	1.0180265654648957	0.9914734301696656	0.9874185983470656	0.9568106312292356
